key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken
陰1局辛卯,庚,兌,艮,天任,生門,午未,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰1局壬辰,庚,壬,艮,天任,生門,午未,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,死門,驚門,開門,休門,生門,傷門,杜門,景門
陰1局癸巳,庚,坤,艮,天任,生門,午未,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局甲午,辛,兌,兌,天柱,驚門,辰巳,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,休門,生門,傷門,杜門,景門,死門,驚門,開門
陰1局乙未,辛,坤,兌,天柱,驚門,辰巳,庚,丙,丁,己,乙癸,辛,壬,戊,戊,庚,丙,丁,己,乙癸,辛,壬,天任,天冲,天輔,天英,天芮,天柱,天心,天蓬,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,九地,開門,休門,生門,傷門,杜門,景門,死門,驚門
陰1局丙申,辛,震,兌,天柱,驚門,辰巳,己,乙癸,辛,壬,戊,庚,丙,丁,戊,庚,丙,丁,己,乙癸,辛,壬,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,六合,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰1局丁酉,辛,巽,兌,天柱,驚門,辰巳,丁,己,乙癸,辛,壬,戊,庚,丙,戊,庚,丙,丁,己,乙癸,辛,壬,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,六合,太陰,螣蛇,直符,九天,九地,朱雀,勾陳,杜門,景門,死門,驚門,開門,休門,生門,傷門
陰1局戊戌,辛,坎,兌,天柱,驚門,辰巳,辛,壬,戊,庚,丙,丁,己,乙癸,戊,庚,丙,丁,己,乙癸,辛,壬,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,直符,九天,九地,朱雀,勾陳,六合,太陰,螣蛇,景門,死門,驚門,開門,休門,生門,傷門,杜門
陰1局己亥,辛,離,兌,天柱,驚門,辰巳,丙,丁,己,乙癸,辛,壬,戊,庚,戊,庚,丙,丁,己,乙癸,辛,壬,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,勾陳,六合,太陰,螣蛇,直符,九天,九地,朱雀,生門,傷門,杜門,景門,死門,驚門,開門,休門
陰1局庚子,辛,艮,兌,天柱,驚門,辰巳,乙癸,辛,壬,戊,庚,丙,丁,己,戊,庚,丙,丁,己,乙癸,辛,壬,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,螣蛇,直符,九天,九地,朱雀,勾陳,六合,太陰,驚門,開門,休門,生門,傷門,杜門,景門,死門
陰1局辛丑,辛,兌,兌,天柱,驚門,辰巳,戊,庚,丙,丁,己,乙癸,辛,壬,戊,庚,丙,丁,己,乙癸,辛,壬,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九地,朱雀,勾陳,六合,太陰,螣蛇,直符,九天,傷門,杜門,景門,死門,驚門,開門,休門,生門
