key,junshu,tenban_junshu_p,chiban_junshu_p,chokufu,chokushi,kuubou,tenban_kan,tenban_gon,tenban_shin,tenban_son,tenban_ri,tenban_kun,tenban_da,tenban_ken,chiban_kan,chiban_gon,chiban_shin,chiban_son,chiban_ri,chiban_kun,chiban_da,chiban_ken,kyusei_kan,kyusei_gon,kyusei_shin,kyusei_son,kyusei_ri,kyusei_kun,kyusei_da,kyusei_ken,hasshin_kan,hasshin_gon,hasshin_shin,hasshin_son,hasshin_ri,hasshin_kun,hasshin_da,hasshin_ken,hachimon_kan,hachimon_gon,hachimon_shin,hachimon_son,hachimon_ri,hachimon_kun,hachimon_da,hachimon_ken,jukkan_kokuou_kan,kakkyoku_kan,jukkan_kokuou_gon,kakkyoku_gon,jukkan_kokuou_shin,kakkyoku_shin,jukkan_kokuou_son,kakkyoku_son,jukkan_kokuou_ri,kakkyoku_ri,jukkan_kokuou_kun,kakkyoku_kun,jukkan_kokuou_da,kakkyoku_da,jukkan_kokuou_ken,kakkyoku_ken,ban_level
陽7局庚申,癸,離,震,天冲,傷門,子丑,戊,乙,辛,己,癸,丁,庚,壬丙,辛,己,癸,丁,庚,壬丙,戊,乙,天柱,天心,天蓬,天任,天冲,天輔,天英,天芮,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,六合,驚門,開門,休門,生門,傷門,杜門,景門,死門,×青龍折足,,×日奇入霧,◯地遁,×天牢華蓋,,△朱雀入墓,,×太白入網,×飛宮格;×天羅,〇五神互合;△星髄月転,,×太白伏宮,,△格名小蛇;〇日月併用,×丙奇入墓,門迫
陽7局辛酉,癸,坎,震,天冲,傷門,子丑,癸,丁,庚,壬丙,戊,乙,辛,己,辛,己,癸,丁,庚,壬丙,戊,乙,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,直符,螣蛇,太陰,六合,勾陳,朱雀,九地,九天,傷門,杜門,景門,死門,驚門,開門,休門,生門,×網蓋天牢,×天羅,×火入勾陳,◯丁奇得使;×丁奇入墓,×反吟大格,×伏宮格,△干合蛇刑;〇星奇朱雀,×六儀撃刑格,×値符飛宮,,×日奇入地;〇奇儀順遂,◯雲遁;×乙奇入墓,×囚獄被傷,,△地戸蓬星,,門迫
陽7局壬戌,癸,坤,震,天冲,傷門,子丑,壬丙,戊,乙,辛,己,癸,丁,庚,辛,己,癸,丁,庚,壬丙,戊,乙,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,六合,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,死門,驚門,開門,休門,生門,傷門,杜門,景門,×騰蛇相纏;△謀事成就,◯丙奇得使,×貴人入獄,,△華蓋蓬星,◯乙奇昇殿,〇獄神得奇,,×刑格返名,,×復見騰蛇;〇華蓋孛師,×天羅,〇青龍転光,◯丁奇昇殿,△太白蓬星,,門迫
陽7局癸亥,癸,震,震,天冲,傷門,子丑,辛,己,癸,丁,庚,壬丙,戊,乙,辛,己,癸,丁,庚,壬丙,戊,乙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九地,九天,直符,螣蛇,太陰,六合,勾陳,朱雀,休門,生門,傷門,杜門,景門,死門,驚門,開門,×伏吟天庭,,×地戸蓬鬼,,×天網四張,×天羅,〇奇入太陰,◯丁奇得使,×太白同宮,,×蛇入地羅;×水蛇入火;×火入天羅;×月奇孛師,◯丙奇得使,×伏吟,,△日奇伏吟,◯乙奇得使,伏吟
陽8局甲子,戊,艮,艮,天任,生門,戌亥,庚,戊,壬,癸,己,辛丁,乙,丙,庚,戊,壬,癸,己,辛丁,乙,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九天,直符,螣蛇,太陰,六合,勾陳,朱雀,九地,休門,生門,傷門,杜門,景門,死門,驚門,開門,×太白同宮,,×伏吟,,×蛇入地羅,,×天網四張,×六儀撃刑格,×地戸蓬鬼,,×伏吟天庭;〇獄神得奇;×朱雀入獄;〇奇入太陰,,△日奇伏吟,,×月奇孛師,×丙奇入墓,伏吟
陽8局乙丑,戊,兌,艮,天任,生門,戌亥,癸,己,辛丁,乙,丙,庚,戊,壬,庚,戊,壬,癸,己,辛丁,乙,丙,天輔,天英,天芮,天柱,天心,天蓬,天任,天冲,太陰,六合,勾陳,朱雀,九地,九天,直符,螣蛇,死門,驚門,開門,休門,生門,傷門,杜門,景門,×太白入網,,△犬遇青龍,,×凶蛇入獄;〇五神互合,,△華蓋蓬星,◯風遁,△太孛入刑,◯丙奇昇殿,×白虎干格;△丁丁之格,,△青龍合霊,,×水蛇入火,,門迫
陽8局丙寅,戊,壬,艮,天任,生門,戌亥,壬,癸,己,辛丁,乙,丙,庚,戊,庚,戊,壬,癸,己,辛丁,乙,丙,天冲,天輔,天英,天芮,天柱,天心,天蓬,天任,螣蛇,太陰,六合,勾陳,朱雀,九地,九天,直符,生門,傷門,杜門,景門,死門,驚門,開門,休門,×太白擒蛇,,〇天乙会合,,×地網高張,,×天牢華蓋;×朱雀投江,◯丁奇得使;×朱雀投江,×日奇入霧,◯乙奇得使,△謀事成就;〇星奇朱雀,◯丙奇得使,△太白蓬星,,〇青龍返首,,門迫
陽8局丁卯,戊,坤,艮,天任,生門,戌亥,己,辛丁,乙,丙,庚,戊,壬,癸,庚,戊,壬,癸,己,辛丁,乙,丙,天英,天芮,天柱,天心,天蓬,天任,天冲,天輔,六合,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,景門,死門,驚門,開門,休門,生門,傷門,杜門,×刑格返名,,×囚獄被傷;〇青龍転光,◯丁奇得使;×丁奇入墓,×日奇入地,◯乙奇昇殿,×華蓋孛師,,×官符刑格,×刑格,×青龍折足;〇青龍耀明,,△格名小蛇,,〇華蓋孛師,,反吟;門迫
陽8局戊辰,戊,艮,艮,天任,生門,戌亥,庚,戊,壬,癸,己,辛丁,乙,丙,庚,戊,壬,癸,己,辛丁,乙,丙,天蓬,天任,天冲,天輔,天英,天芮,天柱,天心,九天,直符,螣蛇,太陰,六合,勾陳,朱雀,九地,開門,休門,生門,傷門,杜門,景門,死門,驚門,×太白同宮,,×伏吟,,×蛇入地羅,,×天網四張,×六儀撃刑格,×地戸蓬鬼,,×伏吟天庭;〇獄神得奇;×朱雀入獄;〇奇入太陰,,△日奇伏吟,,×月奇孛師,×丙奇入墓,伏吟
陽8局己巳,戊,離,艮,天任,生門,戌亥,辛丁,乙,丙,庚,戊,壬,癸,己,庚,戊,壬,癸,己,辛丁,乙,丙,天芮,天柱,天心,天蓬,天任,天冲,天輔,天英,勾陳,朱雀,九地,九天,直符,螣蛇,太陰,六合,驚門,開門,休門,生門,傷門,杜門,景門,死門,×白虎出力;△朱雀入没,,×利陰害陽,,×火入天羅,,×反吟大格,,×貴人入獄,,×騰蛇相纏;△干合蛇刑,,△華蓋蓬星,,×火孛地戸,,門迫
